Algorithm,Best Score,Accuracy,Precision,Recall,F1,Time (s)
Genetic Algorithm,0.43407823536812096,0.7439996218107163,0.45189547450185746,0.4973734280528746,0.43407823536812096,18.134347677230835
Grid Search,0.7520001260630945,0.7520001260630945,0.37600006303154726,0.5,0.42922370977512325,20.4604651927948
Bayesian Search,0.7520001260630945,0.7520001260630945,0.37600006303154726,0.5,0.42922370977512325,2.9515886306762695
