model,run_type,best_params,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.8452554744525548,0.4226277372262774,0.7144568565581938,0.5,0.8452554744525548,0.458069613972053,0.7743717209610035
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.8452554744525548,0.4226277372262774,0.7144568565581938,0.5,0.8452554744525548,0.458069613972053,0.7743717209610035
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.8903487429034873,0.8335235988066898,0.8829205353576673,0.7073445362441194,0.8903487429034873,0.7460587194202409,0.878194972877632
